name,id,gender
Ang Lee,1614,2
Atom Egoyan,56205,2
Garry Marshall,1201,2
Tim Burton,510,2
Lawrence Kasdan,8844,2
Billy Crystal,7904,2
Phillip Borsos,148119,0
Kevin Lima,15775,2
Paul Brizzi,56147,0
Brett Leonard,57090,0
Carlo Carlei,87695,2
Gérard Corbiau,67794,0
Mark Lewis,1566166,0
Art Clokey,129534,0
Charles Burnett,97755,2
Steve James,122449,2
Peter Jackson,108,2
Randall Miller,77121,2
Bernard Rose,57851,2
Steven Brill,32593,2
J. F. Lawton,1203,2
Fred Schepisi,64061,2
Neil Jordan,17016,0
James Ivory,54441,2
James Melkonian,73668,0
Ivan Reitman,8858,2
Arne Glimcher,56872,0
Michael Gottlieb,62043,2
Barbet Schroeder,23393,2
George Lucas,1,2
Gillian Armstrong,58094,1
Alfonso Cuarón,11218,2
Ken Loach,15488,2
Claude Chabrol,19069,0
Alfonso Aráu,22767,2
Edward Zwick,9181,2
Nick Castle,14692,2
James Gray,20561,2
Allison Anders,3110,1
Glenn Gordon Caron,58463,2
Stephen Gyllenhaal,15912,2
Nicholas Hytner,55476,2
Kenneth Branagh,11181,2
James Orr,27444,2
Nora Ephron,9248,0
Richard Benjamin,24318,2
Les Mayfield,56911,0
David Frankel,5065,2
Gregory Nava,16395,2
Marc Rocco,54971,2
Robert Benton,6729,2
Michael Apted,10781,2
Nick Gomez,17278,2
Tōru Murakawa,129957,2
Vadim Jean,70905,2
Albert Pyun,63937,2
Alan Jacobs,131792,2
Oliver Stone,1152,2
Norman Jewison,13563,2
Lee Tamahori,7256,2
Anne Goursaud,2873,1
Wolfgang Petersen,5231,2
Luc Besson,59,2
Mira Nair,6495,1
Joshua Brand,23757,2
Quentin Tarantino,138,2
Mario Van Peebles,16214,2
Ang Lee,1614,2
Antonia Bird,42617,1
Robert Redford,4135,2
Kayo Hatta,994323,0
Patrice Chéreau,23724,2
Sam Raimi,7623,2
Peter Yates,12804,2
Robert Altman,9789,2
Krzysztof Kieślowski,1126,2
Krzysztof Kieślowski,1126,2
Krzysztof Kieślowski,1126,2
He Ping,77305,2
Fred Gerber,45642,2
George Mihalka,133793,2
Harold Ramis,1524,2
Richard Rich,107274,2
John Sayles,102445,2
Luis Llosa,26648,2
Roland Emmerich,6046,2
John Pasquin,58072,2
Frank Darabont,4027,2
Danny Boyle,2034,2
Scott McGehee,101444,2
David Siegel,101446,2
Tomás Gutiérrez Alea,72646,0
Juan Carlos Tabío,72647,2
George Huang,57028,2
Kevin Dowling,91499,2
Geoff Burton,72629,2
Kelly Makin,64030,2
Zhang Yimou,607,2
Rachel Talalay,56891,1
Ernest R. Dickerson,15521,2
David Carson,2380,2
Rusty Cundieff,141825,2
Brian Gilbert,58080,2
John Carpenter,11770,2
Peter Segal,13426,2
Louis Malle,15389,2
Steven Soderbergh,1884,2
Preston A. Whitmore II,76705,2
Lasse Hallström,5306,2
Brett Leonard,57090,0
Jon Turteltaub,12962,2
Jon Avnet,18250,2
Mina Shum,1230367,0
P.J. Hogan,3045,2
Melanie Mayron,83313,1
Tom Shadyac,4499,2
Stephan Elliott,27889,2
Iain Softley,1978,2
Roman Polanski,3556,2
Woody Allen,1243,2
Phillip Noyce,13015,2
Joel Schumacher,5572,2
Jessie Nelson,16853,1
Spike Lee,5281,2
Alex Proyas,21085,2
Ron Shelton,4037,2
Brian Levant,13581,2
Robert Zemeckis,24,2
Mike Newell,10723,2
John Singleton,6482,2
Darnell Martin,81727,1
Charles Shyer,56106,2
Andrew Bergman,41550,0
Stephen Sommers,7775,2
Ray Müller,226963,0
Roger Allers,15812,2
Rob Minkoff,18898,2
Bernardo Bertolucci,4956,2
Wes Craven,5140,2
Chuck Russell,26713,2
Richard Donner,7187,2
Alan Rudolph,72427,2
Peter Segal,13426,2
Ron Howard,6159,2
Ben Stiller,7399,2
John Dahl,21053,2
Donald Petrie,18281,2
Robert Allan Ackerman,83588,2
Curtis Hanson,323,2
Jan de Bont,2209,2
Ron Underwood,33485,2
Peter Hyams,37710,2
James Cameron,2710,2
Luis Mandoki,46085,0
Mike Nichols,5342,2
Lawrence Kasdan,8844,2
Damian Harris,42301,2
Suri Krishnamma,158634,2
Jefery Levy,72125,2
Keenen Ivory Wayans,35689,2
Robert Lee King,133183,2
Brian Sloan,1066114,2
Raoul O'Connell,1087439,0
Yves Angelo,234793,0
Russ Meyer,4590,0
Doug McHenry,67896,2
Dave Borthwick,80537,2
Steven E. de Souza,1726,2
Wallace Wolodarsky,486,2
Michael A. Nickles,126837,2
Paul Warner,1142481,2
Vincent Robert,532207,0
Theodore Thomas,129216,2
Lucas Platt,1382436,0
Ross Kagan Marks,1385254,0
Paul Williams,220152,0
Robert Wuhl,4040,2
Roberto Sneider,16401,2
Jack Baxter,223910,0
Jefri Aalmuhammed,1410160,0
Andrew Morahan,53599,2
Michael Corrente,77076,2
John Carpenter,11770,2
John G. Avildsen,16513,2
Jeff Pollack,88060,2
Barry Sonnenfeld,5174,2
Thomas Schlamme,15106,2
Martin Scorsese,1032,2
Michael Lehmann,7145,2
Paul Michael Glaser,12988,2
John Badham,12840,2
Jonathan Kaplan,42171,2
Whit Stillman,78188,2
Bill Forsyth,68687,2
Penelope Spheeris,58448,0
John Landis,4610,2
Caroline Thompson,1901,1
Michael Apted,10781,2
Stephen Hopkins,2042,2
William Friedkin,15175,0
Tony Richardson,32765,2
Abel Ferrara,39104,2
Jennifer Chambers Lynch,14800,1
Robert De Niro,380,2
Adam Resnick,57107,2
John Whitesell,61175,2
Brian De Palma,1150,2
Paul Weiland,66548,2
Mick Jackson,8843,2
Renny Harlin,16938,2
Steve Barron,18308,2
Richard Rush,21806,2
Michael Ritchie,12964,2
Gregg Champion,27236,2
Abel Ferrara,39104,2
Ivan Reitman,8858,2
Richard Linklater,564,2
Marco Brambilla,58838,2
Bruce Brown,86,2
Gus Van Sant,5216,2
Carl Reiner,1895,2
Chen Kaige,20640,2
Donald Petrie,18281,2
Peter Weir,2690,2
Rusty Cundieff,141825,2
Alek Keshishian,50949,2
Steve Kloves,10967,2
John Irvin,17784,2
Barry Sonnenfeld,5174,2
Sydney Pollack,2226,2
Simon Wincer,18254,0
Boaz Yakin,52358,2
Andrew Davis,12989,2
Walter Hill,1723,2
Roger Donaldson,21370,2
Howard Deutch,26502,2
Rose Troche,172993,1
Bruce Beresford,5696,2
Sidney Lumet,39996,2
John Woo,11401,2
Oliver Stone,1152,2
Jim Abrahams,12936,2
Julianna Lavin,94996,0
Christopher Monger,65859,2
Bille August,19684,2
Eric Meza,77733,2
Joel Coen,1223,0
James L. Brooks,3388,2
"Daniel Petrie, Jr.",774,2
Wolfgang Petersen,5231,2
Jim Sheridan,53334,2
Matty Rich,230059,2
Brian Gibson,18069,2
Barry Levinson,8246,2
Stephen Hopkins,2042,2
Steven Spielberg,488,2
Dominic Sena,58498,2
Roger Avary,8297,2
Steven Soderbergh,1884,2
Daniel Petrie,40549,2
John McTiernan,1090,2
James Lapine,90037,2
Simon Wincer,18254,0
Paul Hogan,57147,2
Greg Coote,71192,2
David Cronenberg,224,2
Richard Benjamin,24318,2
Harold Becker,23213,2
Mel Gibson,2461,2
Woody Allen,1243,2
Albert Hughes,11447,2
Allen Hughes,11448,2
Stuart Baird,2523,2
Nagisa Ōshima,46230,2
Tom Noonan,119232,2
Kenneth Branagh,11181,2
Mike Figgis,6111,2
Anthony Minghella,2239,2
Chris Columbus,10965,2
Mike Leigh,65452,2
Christopher Cain,56828,2
Michael Tolkin,16939,2
Martin Campbell,10702,2
Rob Reiner,3026,2
Sally Potter,57206,1
Clint Eastwood,190,2
Jonathan Demme,16294,2
Jane Campion,10757,1
John Singleton,6482,2
David S. Ward,12920,2
Stuart Orme,29482,2
Mel Smith,141450,2
Ted Demme,34849,2
James Ivory,54441,2
Penny Marshall,14911,1
Philip Kaufman,648,2
Alan Parker,9168,2
Fred Dekker,44056,2
Mel Brooks,14639,2
Peter Medak,21377,2
Geoffrey Wright,65026,2
Victor Nunez,138322,2
David Anspaugh,44847,2
Tim Hunter,15858,2
Cyril Collard,127283,2
Steven Spielberg,488,2
Michael Ritchie,12964,2
Steven Zaillian,2260,2
Chris Menges,8969,2
Agnieszka Holland,1128,1
John Waters,10367,2
Russell Mulcahy,52968,2
Richard Attenborough,4786,2
Robert Altman,9789,2
Gillies MacKinnon,33405,2
John Duigan,72624,2
Fred Schepisi,64061,2
Nora Ephron,9248,0
Phillip Noyce,13015,2
Ridley Scott,578,2
Steve Rash,54590,2
Thomas Schlamme,15106,2
Rowdy Herrington,63943,2
Arthur Joffé,111687,0
Annabel Jankel,58164,0
Rocky Morton,58165,2
Ernest R. Dickerson,15521,2
Deran Sarafian,45645,2
François Girard,78012,2
Andrew Fleming,41549,2
Henry Selick,57646,2
Stephen Herek,18356,2
George P. Cosmatos,16566,2
Heywood Gould,53387,2
Tony Scott,893,2
D.A. Pennebaker,21113,2
Chris Hegedus,115891,1
Joe Johnston,4945,2
Pixote Hunt,74299,0
Maurice Hunt,1164376,0
Jerry Ciccoritti,1212571,0
Jennifer Warren,70241,1
Mark Malone,85547,2
Todd Solondz,66605,2
Claude Berri,20718,2
Dennis Hopper,2778,2
Guillermo del Toro,10828,2
Daniel Algrant,69696,2
Pedro Almodóvar,309,2
Gurinder Chadha,6220,1
Andrew Scheinman,3030,2
Åke Sandgren,91565,0
Richard Loncraine,33315,2
Eva Sereny,1006705,0
Lina Wertmüller,26265,0
David O. Russell,17883,2
Penelope Spheeris,58448,0
Rémy Duchemin,1354907,0
George T. Miller,1174031,0
Ricky Tognazzi,105114,2
Michael Austin,67756,0
Rob Epstein,109402,2
Jeffrey Friedman,109403,2
Mathieu Kassovitz,2406,2
Nanni Moretti,69488,2
María Luisa Bemberg,1066960,1
Betty Thomas,31024,1
Chris Columbus,10965,2
Jerry Zucker,3415,2
Ron Clements,15810,2
John Musker,15811,2
James Cameron,2710,2
Kevin Costner,1269,2
Steve Cohen,589306,0
Tim Burton,510,2
Jonathan Demme,16294,2
David Hand,5446,2
Gary Trousdale,62047,2
Kirk Wise,62048,2
Hamilton Luske,11429,2
Ben Sharpsteen,11426,2
Garry Marshall,1201,2
Yuri Mamin,125340,0
Sam Peckinpah,7767,0
C.M. Talkington,78258,0
Huang Jianxin,134026,0
Jean Bach,1080040,0
Sam Weisman,54967,2
Michael Hoffman,52405,2
